,Supranationalist government,Europeanized  identities (general public) ,Europeanized  identities (opinion leaders),High policy conformity,Strong regional governance,High material capabilities
Austria,0.92,0.18,0,0.7,0.8,0.09
Belgium,1,0.63,0.69,0.97,0.8,0.14
Denmark,0.25,0.21,0.05,0.96,0,0.05
Finland,0.25,0.19,0.12,0.8,0,0.09
France,0.33,0.84,0.93,0.26,0.4,0.68
Germany,0.92,0.47,0.37,0.88,1,1
Greece,0.75,0.36,0.21,0.49,0.1,0.14
Italy,0.92,0.95,1,0.99,0.6,0.64
Luxembourg,0.92,1,0.98,1,0,0
Netherlands,1,0.53,0.54,0.94,0.3,0.18
Portugal,0.67,0.42,0.19,0.98,0.1,0.05
Spain,0.83,0.55,0.28,0.59,0.6,0.41
UK,0,0,0.01,0,0.1,0.86
